,Book,Author,Year,month
922,Seeing Red,Sandra Brown,2017,September
923,"""Y"" Is for Yesterday",Sue Grafton,2017,September
924,Glass Houses,Louise Penny,2017,September
925,Secrets in Death,J. D. Robb,2017,September
926,A Column of Fire,Ken Follett,2017,October
927,The Cuban Affair,Nelson DeMille,2017,October
928,Sleeping Beauties,Stephen King and Owen King,2017,October
933,Two Kinds of Truth,Michael Connelly,2017,November
934,The Midnight Line,Lee Child,2017,November
935,Hardcore Twenty-Four,Janet Evanovich,2017,December
937,Darker: Fifty Shades Darker as Told by Christian,E. L. James,2017,December
938,Year One,Nora Roberts,2017,December
939,The Rooster Bar,John Grisham,2017,December
941,The People vs. Alex Cross,James Patterson,2018,January
943,The Woman in the Window,A. J. Finn,2018,January
944,City of Endless Night,Douglas Preston and Lincoln Child,2018,February
945,Judgment Road,Christine Feehan,2018,February
946,Dark in Death,J.D. Robb,2018,February
950,The Great Alone,Kristin Hannah,2018,March
951,Burn Bright,Patricia Briggs,2018,March
952,The Rising Sea,Clive Cussler and Graham Brown,2018,April
953,Accidental Heroes,Danielle Steel,2018,April
954,The Disappeared,C. J. Box,2018,April
955,Ready Player One,Ernest Cline,2018,April
956,The Thief,J. R. Ward,2018,April
957,The Fallen,David Baldacci,2018,May
958,Twisted Prey,John Sandford,2018,May
960,The 17th Suspect,James Patterson and Maxine Paetro,2018,May
961,The Cast,Danielle Steel,2018,June
962,The Outsider,Stephen King,2018,June
963,Shelter in Place,Nora Roberts,2018,June
969,The President Is Missing,James Patterson and Bill Clinton,2018,July
970,The Other Woman,Daniel Silva,2018,August
972,Origin,Dan Brown,2018,August
973,Tailspin,Sandra Brown,2018,August
976,Crazy Rich Asians,Kevin Kwan,2018,September
977,Leverage In Death,J. D. Robb,2018,September
978,Juror #3,James Patterson and Nancy Allen,2018,September
979,Lethal White,Robert Galbraith,2018,October
980,Vince Flynn: Red War,Kyle Mills,2018,October
981,A Spark Of Light,Jodi Picoult,2018,October
982,Holy Ghost,John Sandford,2018,October
983,Every Breath,Nicholas Sparks,2018,November
985,Dark Sacred Night,Michael Connelly,2018,November
986,Past Tense,Lee Child,2018,November
987,Look Alive Twenty-Five,Janet Evanovich,2018,December
988,Fire and Blood,George R. R. Martin,2018,December
989,Kingdom of the Blind,Louise Penny,2018,December
990,Of Blood and Bone,Nora Roberts,2018,December
992,The Reckoning,John Grisham,2019,January
993,Long Road to Mercy,David Baldacci,2019,January
994,Verses for the Dead,Douglas Preston and Lincoln Child,2019,January
995,Turning Point,Danielle Steel,2019,January
999,Connections in Death,J. D. Robb,2019,February
1009,Redemption,David Baldacci,2019,May
1010,Neon Prey,John Sandford,2019,May
1011,18th Abduction,James Patterson and Maxine Paetro,2019,May
1018,Summer of '69,Elin Hilderbrand,2019,July
1021,Under Currents,Nora Roberts,2019,July
1022,The New Girl,Daniel Silva,2019,August
1023,One Good Deed,David Baldacci,2019,August
1028,A Better Man,Louise Penny,2019,September
1029,Vendetta in Death,J. D. Robb,2019,September
1031,The Institute,Stephen King,2019,October
1032,The Water Dancer,Ta-Nehisi Coates,2019,October
1033,Bloody Genius,John Sandford,2019,October
1034,The 19th Christmas,James Patterson and Maxine Paetro,2019,October
1036,The Night Fire,Michael Connelly,2019,November
1037,Blue Moon,Lee Child,2019,November
1038,“The Non Talking Boy”,Alex Walton,2019,November
1039,Twisted Twenty-Six,Janet Evanovich,2019,December
1040,A Minute to Midnight,David Baldacci,2019,December
1041,The Rise of Magicks,Nora Roberts,2019,December
1042,The Guardians,John Grisham,2019,December
1043,Where The Crawdads Sing,Delia Owens,2019,December
1051,Golden in Death,J. D. Robb,2020,February
1052,American Dirt,Jeanine Cummins,2020,March
1053,One Minute Out,Mark Greaney,2020,March
1054,Blindside,James Patterson and James O. Born,2020,March
1055,House of Earth and Blood,Sarah J. Maas,2020,March
1056,The Mirror and the Light,Hilary Mantel,2020,March
1057,The Boy from the Woods,Harlan Coben,2020,April
1060,Little Fires Everywhere,Celeste Ng,2020,April
1061,Masked Prey,John Sandford,2020,May
1062,Walk The Wire,David Baldacci,2020,May
1064,The 20th Victim,James Patterson and Maxine Paetro,2020,May
1066,Camino Winds,John Grisham,2020,June
1067,Hideaway,Nora Roberts,2020,June
1069,The Summer House,James Patterson and Brendan DuBois,2020,June
1071,28 Summers,Elin Hilderbrand,2020,July
1073,The Vanishing Half,Brit Bennett,2020,July
1074,The Order,Daniel Silva,2020,August
1075,Near Dark,Brad Thor,2020,August
1076,Deadlock,Catherine Coulter,2020,August
1078,Where the Crawdads Sing,Delia Owens,2020,August
1079,Royal,Danielle Steel,2020,September
1080,Thick as Thieves,Sandra Brown,2020,September
1081,All the Devils Are Here,Louise Penny,2020,September
1082,Shadows in Death,J. D. Robb,2020,September
1083,The Evening and the Morning,Ken Follett,2020,October
1084,The Book of Two Ways,Jodi Picoult,2020,October
1085,The Return,Nicholas Sparks,2020,October
1086,Troubles in Paradise,Elin Hilderbrand,2020,October
1088,A Time for Mercy,John Grisham,2020,November
1089,The Sentinel,Lee Child and Andrew Child,2020,November
1090,Fortune and Glory,Janet Evanovich,2020,November
1091,The Law of Innocence,Michael Connelly,2020,November
1092,Rhythm of War,Brandon Sanderson,2020,December
1095,Ready Player Two,Ernest Cline,2020,December
